problem_type,problem_name,difficulty,skills,max_score
algorithms,day-of-the-programmer,Easy,Basic,15 
algorithms,solve-me-first,Easy,Basic,1 
algorithms,simple-array-sum,Easy,Basic,10 
algorithms,compare-the-triplets,Easy,Basic,10 
algorithms,a-very-big-sum,Easy,Basic,10 
algorithms,diagonal-difference,Easy,Basic,10 
algorithms,plus-minus,Easy,Basic,10 
algorithms,staircase,Easy,Basic,10 
algorithms,mini-max-sum,Easy,Basic,10 
algorithms,birthday-cake-candles,Easy,Basic,10 
algorithms,time-conversion,Easy,Basic,15 
algorithms,grading,Easy,Basic,10 
algorithms,apple-and-orange,Easy,Basic,10 
algorithms,kangaroo,Easy,Basic,10 
algorithms,between-two-sets,Easy,Basic,10 
algorithms,breaking-best-and-worst-records,Easy,Basic,10 
algorithms,the-birthday-bar,Easy,Basic,10 
algorithms,divisible-sum-pairs,Easy,Basic,10 
algorithms,migratory-birds,Easy,Basic,10 
algorithms,bon-appetit,Easy,Basic,10 
algorithms,sock-merchant,Easy,Basic,10 
algorithms,drawing-book,Easy,Basic,10 
algorithms,counting-valleys,Easy,Basic,15 
algorithms,electronics-shop,Easy,Basic,15 
algorithms,cats-and-a-mouse,Easy,Basic,15 
algorithms,magic-square-forming,Medium,Basic,20 
algorithms,picking-numbers,Easy,Basic,20 
algorithms,climbing-the-leaderboard,Medium,Basic,20 
algorithms,the-hurdle-race,Easy,Basic,15 
algorithms,designer-pdf-viewer,Easy,Basic,20 
algorithms,utopian-tree,Easy,Basic,20 
algorithms,angry-professor,Easy,Basic,20 
algorithms,beautiful-days-at-the-movies,Easy,Basic,15 
algorithms,strange-advertising,Easy,Basic,15 
algorithms,save-the-prisoner,Easy,Basic,15 
algorithms,circular-array-rotation,Easy,Basic,20 
algorithms,permutation-equation,Easy,Basic,20 
algorithms,jumping-on-the-clouds-revisited,Easy,Basic,15 
algorithms,find-digits,Easy,Basic,25 
algorithms,extra-long-factorials,Medium,Intermediate,20 
algorithms,append-and-delete,Easy,Basic,20 
algorithms,sherlock-and-squares,Easy,Basic,20 
algorithms,library-fine,Easy,Basic,15 
algorithms,cut-the-sticks,Easy,Basic,25 
algorithms,non-divisible-subset,Medium,Intermediate,20 
algorithms,repeated-string,Easy,Basic,20 
algorithms,jumping-on-the-clouds,Easy,Basic,20 
algorithms,equality-in-a-array,Easy,Basic,20 
algorithms,queens-attack-2,Medium,Intermediate,30 
algorithms,acm-icpc-team,Easy,Basic,25 
algorithms,taum-and-bday,Easy,Basic,25 
algorithms,organizing-containers-of-balls,Medium,Basic,30 
algorithms,encryption,Medium,Basic,30 
algorithms,bigger-is-greater,Medium,Intermediate,35 
algorithms,kaprekar-numbers,Easy,Basic,30 
algorithms,beautiful-triplets,Easy,Basic,20 
algorithms,minimum-distances,Easy,Basic,20 
algorithms,halloween-sale,Easy,Basic,20 
algorithms,the-time-in-words,Medium,Basic,25 
algorithms,chocolate-feast,Easy,Basic,25 
algorithms,service-lane,Easy,Basic,20 
algorithms,lisa-workbook,Easy,Basic,25 
algorithms,flatland-space-stations,Easy,Intermediate,25 
algorithms,fair-rations,Easy,Basic,25 
algorithms,cavity-map,Easy,Basic,30 
algorithms,manasa-and-stones,Easy,Basic,30 
algorithms,the-grid-search,Medium,Basic,30 
algorithms,happy-ladybugs,Easy,Basic,30 
algorithms,strange-code,Easy,Basic,30 
algorithms,3d-surface-area,Medium,Intermediate,30 
algorithms,absolute-permutation,Medium,Intermediate,40 
algorithms,bomber-man,Medium,Basic,40 
algorithms,two-pluses,Medium,Basic,40 
algorithms,larrys-array,Medium,Intermediate,40 
algorithms,almost-sorted,Medium,Intermediate,50 
algorithms,matrix-rotation-algo,Hard,Intermediate,80 
algorithms,big-sorting,Easy,Basic,20 
algorithms,reduced-string,Easy,Intermediate,10 
algorithms,tutorial-intro,Easy,Basic,30 
algorithms,camelcase,Easy,Basic,15 
algorithms,insertionsort1,Easy,Basic,30 
algorithms,strong-password,Easy,Basic,15 
algorithms,two-characters,Easy,Intermediate,20 
algorithms,insertionsort2,Easy,Basic,30 
algorithms,correctness-invariant,Easy,Basic,30 
algorithms,caesar-cipher-1,Easy,Basic,15 
algorithms,mars-exploration,Easy,Basic,15 
algorithms,runningtime,Easy,Basic,30 
algorithms,hackerrank-in-a-string,Easy,Basic,20 
algorithms,quicksort1,Easy,Basic,10 
algorithms,pangrams,Easy,Basic,20 
algorithms,weighted-uniform-string,Easy,Intermediate,20 
