problem_type,problem_name,difficulty,skills,max_score
data structures,dynamic-array,Easy,Basic,15
data structures,arrays-ds,Easy,Basic,10
data structures,2d-array,Easy,Basic,15
data structures,array-left-rotation,Easy,Basic,20
data structures,sparse-arrays,Medium,Basic,25
data structures,crush,Hard,Intermediate,60
data structures,print-the-elements-of-a-linked-list,Easy,Basic,5
data structures,insert-a-node-at-the-tail-of-a-linked-list,Easy,Intermediate,5
data structures,insert-a-node-at-the-head-of-a-linked-list,Easy,Basic,5
data structures,insert-a-node-at-a-specific-position-in-a-linked-list,Easy,Intermediate,5
data structures,delete-a-node-from-a-linked-list,Easy,Basic,5
data structures,print-the-elements-of-a-linked-list-in-reverse,Easy,Basic,5
data structures,reverse-a-linked-list,Easy,Intermediate,5
data structures,compare-two-linked-lists,Easy,Basic,5
data structures,merge-two-sorted-linked-lists,Easy,Intermediate,5
data structures,get-the-value-of-the-node-at-a-specific-position-from-the-tail,Easy,Basic,5
data structures,delete-duplicate-value-nodes-from-a-sorted-linked-list,Easy,Intermediate,5
data structures,detect-whether-a-linked-list-contains-a-cycle,Medium,Intermediate,5
data structures,find-the-merge-point-of-two-joined-linked-lists,Easy,Basic,5
data structures,insert-a-node-into-a-sorted-doubly-linked-list,Easy,Intermediate,5
data structures,reverse-a-doubly-linked-list,Easy,Intermediate,5
data structures,tree-preorder-traversal,Easy,Intermediate,10
data structures,tree-postorder-traversal,Easy,Intermediate,10
data structures,tree-inorder-traversal,Easy,Advanced,10
data structures,tree-height-of-a-binary-tree,Easy,Advanced,10
data structures,tree-top-view,Easy,Advanced,20
data structures,tree-level-order-traversal,Easy,Advanced,20
data structures,binary-search-tree-insertion,Easy,Advanced,20
data structures,tree-huffman-decoding,Medium,Intermediate,20
data structures,binary-search-tree-lowest-common-ancestor,Easy,Advanced,30
data structures,swap-nodes-algo,Medium,Advanced,40
data structures,kittys-calculations-on-a-tree,Advanced,Advanced,80
data structures,is-binary-search-tree,Medium,Advanced,30
data structures,square-ten-tree,Hard,Null,60
data structures,balanced-forest,Hard,Null,60
data structures,jenny-subtrees,Hard,Null,70
data structures,tree-coordinates,Expert,Null,100
data structures,array-pairs,Advanced,Null,100
data structures,self-balancing-tree,Medium,Null,50
data structures,array-and-simple-queries,Hard,Null,80
data structures,median,Hard,Intermediate,70
data structures,merging-communities,Hard,Advanced,50
data structures,qheap1,Easy,Intermediate,25
data structures,maximum-element,Easy,Intermediate,20
data structures,queue-using-two-stacks,Medium,Intermediate,30
data structures,components-in-graph,Medium,Advanced,50
data structures,balanced-brackets,Medium,Intermediate,25
data structures,castle-on-the-grid,Medium,Advanced,30
data structures,jesse-and-cookies,Easy,Intermediate,25
data structures,kundu-and-tree,Hard,Null,80
data structures,find-the-running-median,Hard,Advanced,50
data structures,down-to-zero-ii,Medium,Intermediate,40
data structures,equal-stacks,Easy,Intermediate,25
data structures,minimum-average-waiting-time,Hard,Null,80
data structures,truck-tour,Hard,Intermediate,50
data structures,game-of-two-stacks,Medium,Intermediate,30
data structures,largest-rectangle,Medium,Intermediate,50
data structures,queries-with-fixed-length,Hard,Intermediate,50
data structures,maximum-cost-queries,Hard,Null,60
data structures,simple-text-editor,Medium,Intermediate,65
data structures,poisonous-plants,Hard,Advanced,70
data structures,and-xor-or,Hard,Null,70
data structures,waiter,Medium,Intermediate,75
data structures,contacts,Medium,Advanced,40
data structures,no-prefix-set,Hard,Advanced,50
data structures,kindergarten-adventures,Medium,Null,30
data structures,cube-summation,Hard,Advanced,50
data structures,x-and-his-shots,Medium,Null,50
data structures,direct-connections,Hard,Null,60
data structures,subsequence-weighting,Advanced,Null,60
data structures,jim-and-the-skyscrapers,Medium,Null,60
data structures,palindromic-subsets,Hard,Null,80
data structures,counting-on-a-tree,Expert,Null,100
data structures,polynomial-division,Hard,Null,60
data structures,costly-intervals,Hard,Null,65
data structures,the-strange-function,Hard,Null,70
data structures,self-driving-bus,Advanced,Null,100
data structures,unique-colors,Advanced,Null,100
data structures,fibonacci-numbers-tree,Expert,Null,100
data structures,pair-sums,Expert,Null,80
data structures,functional-palindromes,Advanced,Null,80
data structures,lazy-white-falcon,Hard,Null,100
data structures,ticket-to-ride,Expert,Null,100
data structures,heavy-light-white-falcon,Hard,Null,100
data structures,little-alexey-and-sum-of-maximums,Advanced,Null,90
data structures,number-game-on-a-tree,Expert,Null,80
data structures,heavy-light-2-white-falcon,Hard,Null,100
data structures,library-query,Advanced,Null,80
data structures,starfleet,Advanced,Null,100
data structures,almost-equal-advanced,Expert,Null,100
data structures,almost-sorted-interval,Expert,Null,100
data structures,burger-happiness,Hard,Null,100
data structures,roy-and-alpha-beta-trees,Hard,Null,120
data structures,coloring-tree,Hard,Null,120
data structures,recalling-early-days-gp-with-trees,Hard,Null,120
data structures,swaps-and-sum,Advanced,Null,120
data structures,arithmetic-progressions,Advanced,Null,80
data structures,coolguy-and-two-subsequences,Advanced,Null,120
data structures,white-falcon-and-tree,Hard,Null,120
data structures,subtrees-and-paths,Advanced,Null,120
data structures,triplets,Advanced,Null,90
data structures,beautiful-segments,Expert,Null,120
data structures,ab0,Expert,Null,120
data structures,bst-maintenance,Advanced,Null,140
data structures,find-maximum-index-product,Medium,Null,100
data structures,taxicab-drivers-problem,Advanced,Null,150
data structures,jagia-playing-with-numbers,Advanced,Null,150
data structures,dynamic-summation,Hard,Null,150
data structures,weird-queries,Hard,Null,150
data structures,rooted-tree,Hard,Null,150
data structures,helix,Advanced,Null,150
data structures,net-admin,Hard,Null,150
data structures,easy-addition,Expert,Null,150
data structures,find-the-permutation,Expert,Null,150
data structures,company-retreat,Advanced,Null,100
data structures,box-operations,Expert,Null,100
data structures,max-transform,Expert,Null,100
data structures,array-and-queries-1,Hard,Null,60
